"V1";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72";"V73";"V74";"V75";"V76";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"V114";"V115";"V116";"V117";"V118";"V119";"V120";"V121";"V122";"V123";"V124";"V125";"V126";"V127";"V128";"V129";"V130";"V131";"V132";"V133";"V134";"V135";"V136";"V137";"V138";"V139";"V140";"V141";"V142";"V143";"V144";"V145";"V146";"V147";"V148";"V149";"V150";"V151";"V152";"V153";"V154";"V155";"V156";"V157";"V158";"V159";"V160";"V161";"V162";"V163";"V164";"V165";"V166";"V167";"V168";"V169";"V170";"V171";"V172";"V173";"V174";"V175";"V176";"V177";"V178";"V179";"V180";"V181";"V182";"V183";"V184";"V185";"V186";"V187";"V188";"V189";"V190";"V191";"V192";"V193";"V194";"V195";"V196";"V197";"V198";"V199";"V200";"V201";"V202";"V203";"V204";"V205";"V206";"V207";"V208";"V209";"V210";"V211";"V212";"V213";"V214";"V215";"V216";"V217";"V218";"V219";"V220";"V221";"V222";"V223";"V224";"V225";"V226";"V227";"V228";"V229";"V230";"V231";"V232";"V233";"V234";"V235";"V236";"V237";"V238";"V239";"V240";"V241";"V242";"V243";"V244";"V245";"V246";"V247";"V248";"V249";"V250";"V251";"V252";"V253";"V254";"V255";"V256";"V257";"V258";"V259";"V260";"V261";"V262";"V263";"V264";"V265";"V266";"V267";"V268";"V269";"V270";"V271";"V272";"V273";"V274";"V275";"V276";"V277";"V278";"V279";"V280";"V281";"V282";"V283";"V284";"V285";"V286";"V287";"V288";"V289";"V290";"V291";"V292";"V293";"V294";"V295";"V296";"V297";"V298";"V299";"V300";"V301";"V302";"V303";"V304";"V305";"V306";"V307";"V308";"V309";"V310";"V311";"V312";"V313";"V314";"V315";"V316"
12516;2002;1;17;3;1726;1;870;720;;;3;0;1;1;1;0;0;2;9;1;3;9;3;;90;;;90;11;5;1;8;3;0;3;6;0;5;4;6;3;2;3;6;1;2;;;11;3;2;3;2;1;3;3;2;1;3;1;3;2;2;3;2;2;1;2;2;3;2;2;2;2;2;3;2;3;4;4;3;4;2;3;1;3;2;2;3;1;1;2;2;2;2;1;2;2;1;2;2;1;1;3;3;2;3;4;1;2;1;2;2;3;4;4;3;5;5;2;2;4;5;2;3;5;5;5;5;4;2;1;2;3;3;4;5;1;3;5;2;4;5;5;5;3;5;2;2;2;1;4;2;2;4;5;2;5;1;4;4;5;3;2;1;1;4;2;2;2;2;2;4;2;3;3;1;3;3;1;2;1;2;7;5;4;7;3;9;5;8;2;3;3;1;3;1;3;2;3;2;3;4;2;4;2;3;1;5;3;3;4;2;4;2;3;2;5;1;4;4;2;4;1;3;2;5;3;3;3;4;2;2;3;4;1;3;2;;2;;2;1;4;2;1;2;2;;2;;1;2;1;1;4;2;1;4;1;4;3;3;2;4;3;1;62;1;9;9;2;1;1;0;0;0;1726;5;4;4;1;1810;1810;4;2;1;;31210;7510;7510;;;;3;1;39;3;133;4;3;2;3121;;714;620;;;7738;0,7738;1,879;5;1,237639
12516;2002;1;7;2;1726;1;200;1030;600;700;1;0;1;1;1;0;0;1;2;3;3;67;5;;5;2;9;5;5;7;10;4;6;0;6;1;5;8;9;4;5;0;3;3;8;2;;;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;2;1;1;2;3;2;3;3;3;4;1;2;1;1;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;2;1;2;1;2;2;2;2;2;1;1;2;2;5;5;1;1;5;5;4;5;5;5;5;1;5;2;3;2;4;1;5;5;2;2;5;2;5;2;2;3;5;3;5;4;5;3;2;5;1;4;3;2;3;5;4;4;2;4;4;4;2;2;2;1;1;2;2;1;1;3;2;1;3;3;2;3;1;1;1;1;2;4;5;4;7;3;10;4;9;1;1;3;1;4;1;4;1;4;4;3;3;2;4;1;3;1;4;3;4;4;3;4;2;4;2;5;4;2;5;1;4;1;4;1;5;5;5;5;5;3;1;2;5;1;5;2;;2;;1;2;2;1;1;1;1;2;1;2;2;2;1;1;4;1;1;3;1;3;1;3;2;3;1;1;63;1;11;11;2;1;1;0;0;0;1726;5;4;5;1;2190;2190;5;2;1;;24460;8500;8500;;;;2;1;38;3;132;3;3;4;2446;;200;911;900;600;8769;0,8769;0,9395;5;0,859467
12516;2002;1;16;2;1726;1;701;930;960;600;4;0;1;1;1;0;0;2;2;1;2;67;10;;13;3;9;13;10;3;9;2;4;0;3;1;8;6;8;3;6;0;1;1;6;3;;;2;2;3;2;1;1;1;2;1;3;2;3;1;3;1;2;2;1;2;2;3;1;1;3;2;2;3;4;2;3;1;2;5;5;4;4;2;2;3;3;2;3;2;3;1;2;2;1;2;3;3;3;3;2;1;3;3;3;3;4;2;2;1;2;1;2;3;4;2;4;5;5;5;5;2;5;4;1;5;2;2;1;5;1;4;3;2;1;5;4;5;1;2;1;3;2;5;4;1;1;4;4;8;5;3;5;4;5;1;1;4;4;4;4;1;3;4;1;2;3;2;1;1;2;4;2;3;2;3;3;4;2;2;3;2;2;8;3;9;3;10;7;9;1;2;4;2;4;1;3;1;5;4;2;2;1;4;3;3;1;4;4;4;4;2;4;1;2;1;4;5;3;4;2;4;1;2;1;5;4;4;4;4;3;1;2;5;2;4;2;;2;;2;3;2;3;1;2;1;2;8;;1;2;2;3;2;1;1;3;2;3;23;3;2;3;4;2;67;1;2;2;2;1;1;0;0;0;1726;5;4;4;4;;;9;;;;;;;;;;;1;34;3;;;;;;;610;830;840;900;9234;0,9234;0,9395;5;0,905043
12516;2002;1;16;2;1726;1;900;600;530;;2;0;1;1;1;0;0;2;8;2;2;15;;;8;8;;8;8;7;5;7;3;5;2;9;0;9;8;7;5;4;1;7;0;2;;;7;3;2;3;3;1;2;3;3;2;3;2;2;2;3;3;1;3;1;1;2;1;2;4;3;4;4;3;3;5;4;3;2;4;3;2;4;1;3;2;2;3;1;3;2;1;2;3;2;1;2;3;3;2;2;3;4;3;3;1;2;1;1;1;2;3;1;3;2;3;3;4;2;3;2;2;2;3;2;3;2;4;2;2;2;3;3;4;3;2;3;4;4;2;3;4;3;2;3;1;3;2;8;2;3;3;3;2;3;2;4;3;3;3;3;2;2;1;2;3;2;2;1;2;1;3;4;2;3;4;1;2;2;2;4;7;4;5;10;2;7;4;8;0;4;4;2;4;1;5;2;4;2;4;5;2;5;5;4;2;5;3;3;4;2;5;2;4;2;5;3;5;5;1;4;1;4;2;4;2;4;3;5;2;2;3;5;1;4;1;2;2;;1;1;2;2;1;2;2;;2;;2;2;2;1;3;3;4;;;;;3;2;4;1;2;73;1;2;2;2;1;1;0;0;0;1726;5;4;6;4;;;9;;;;;;;;;;;1;28;2;;;;;;;800;900;650;;9234;0,9234;0,9075;5;0,829619
12516;2002;1;24;2;1726;1;570;582;720;;2;0;1;1;1;0;0;2;1;1;3;60;2;;1;4;;1;1;7;8;4;6;0;5;4;6;6;8;3;4;0;5;3;6;3;;;1;3;3;3;3;1;1;3;2;1;1;3;1;1;3;1;2;1;1;2;2;1;2;3;3;2;1;2;3;2;2;3;3;3;2;1;4;1;3;3;3;3;2;2;2;2;2;2;3;2;2;3;2;2;1;2;2;2;3;3;2;1;8;8;1;2;8;4;2;8;5;4;5;4;5;4;2;2;3;5;4;2;2;2;4;4;8;2;5;2;5;1;2;2;5;8;5;4;5;1;3;4;1;2;8;2;8;5;2;2;4;4;1;4;2;1;2;1;8;2;2;1;1;2;4;2;4;2;2;3;3;2;2;1;4;4;3;4;7;2;7;6;8;1;3;3;2;4;1;3;2;4;4;3;3;2;4;2;3;1;5;3;3;3;2;5;1;3;2;5;4;3;3;2;4;1;2;2;5;4;4;4;4;2;2;3;5;1;4;1;1;2;;2;3;3;3;2;3;1;2;8;;2;2;2;2;3;1;1;3;1;3;1;10;;3;4;1;73;1;2;2;2;1;1;0;0;0;1726;5;4;6;4;;;9;;;;;;;;;;;1;28;2;;;;;;;530;562;620;;8769;0,8769;1,05558;5;0,921008
12516;2002;1;15;2;1726;1;461;571;440;;4;0;1;1;1;0;0;1;8;3;2;15;11;;8;3;;8;90;4;5;9;4;1;7;10;0;5;4;7;7;3;5;8;1;1;7;1;;1;2;3;2;1;3;3;2;2;3;3;2;2;3;2;1;2;1;1;2;1;2;3;5;3;4;3;4;2;2;4;4;3;4;4;1;3;3;3;2;2;2;2;2;1;1;2;2;1;2;3;2;2;3;3;2;2;3;3;1;2;1;2;2;3;1;5;4;4;4;3;3;2;4;1;1;1;2;2;5;3;1;4;2;5;3;4;3;2;2;3;2;4;4;3;5;4;5;3;4;1;1;3;3;1;1;4;2;5;1;3;5;5;2;2;2;1;4;2;1;1;1;3;4;1;2;4;1;2;3;2;1;1;2;8;4;4;9;2;4;6;8;1;4;3;2;4;1;4;2;4;3;4;4;1;4;3;2;1;5;1;4;4;2;5;3;4;2;5;3;3;3;2;4;2;5;2;4;4;4;4;5;3;2;4;5;1;5;1;1;2;;2;1;2;1;1;1;1;7;1;7;2;2;2;1;4;3;1;4;1;3;7;3;2;3;7;2;75;1;6;6;1;1;1;0;0;0;1626;5;4;5;4;;;4;1;1;;;9800;9800;;;;8;1;26;2;;;;;;;420;540;430;;9234;0,9234;0,9075;5;0,829619
12516;2002;1;16;2;1726;1;400;572;530;720;3;0;1;1;1;0;0;2;8;3;2;15;3;;8;3;;8;8;4;3;7;2;4;5;8;2;5;5;8;4;3;4;7;3;2;;;7;3;2;2;3;1;2;1;2;2;1;3;2;3;3;2;1;3;1;1;2;1;2;1;3;4;3;3;4;3;3;2;3;4;3;1;4;2;3;2;2;3;2;2;3;2;2;1;2;2;1;3;2;1;1;3;2;2;3;3;1;2;2;2;2;3;1;5;3;4;3;4;4;3;3;2;2;5;2;2;5;2;2;1;2;4;5;3;4;3;3;3;1;3;4;3;3;3;3;1;2;2;1;4;3;2;3;4;2;4;2;3;3;4;2;2;2;2;2;2;2;1;1;3;3;1;2;3;1;2;3;1;2;1;2;8;4;5;7;2;10;7;8;1;3;3;2;5;1;4;2;4;2;4;3;1;5;2;3;1;5;2;4;4;3;5;3;4;2;5;4;2;4;1;5;2;4;2;4;2;5;3;3;1;1;3;5;2;4;1;2;2;;2;1;3;1;1;2;1;7;1;7;2;2;2;2;4;3;1;4;1;3;7;3;1;3;7;1;70;3;14;15;2;2;1;0;0;0;1726;5;4;5;1;2399;2399;5;1;1;;22222;8512;8512;;;;8;1;31;3;132;3;2;4;2222;;400;550;650;620;8769;0,8769;0,9075;5;0,787842
12516;2002;2;10;2;2300;125;570;900;960;530;4;0;1;1;1;0;0;1;81;;;;;;81;1;7;;81;4;4;5;4;2;5;5;2;2;3;4;4;2;4;4;2;1;19;2;;3;2;3;3;1;3;3;2;3;3;3;3;3;3;2;3;2;3;2;1;1;2;1;3;3;3;3;5;3;3;4;3;4;3;1;4;2;3;3;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;3;2;8;2;8;1;8;1;2;2;1;3;5;2;3;5;2;1;2;5;2;2;3;1;1;4;4;1;3;2;4;5;4;3;2;8;3;5;1;5;1;4;2;8;1;2;3;1;2;2;2;3;1;1;2;3;3;3;4;3;2;2;1;1;3;1;4;1;3;4;2;3;2;1;3;2;2;2;1;2;5;4;4;5;2;10;5;6;0;2;3;2;3;1;4;2;4;3;4;3;2;4;4;3;1;5;2;4;3;3;4;8;8;3;4;3;3;3;2;4;1;3;2;5;2;4;4;4;3;1;4;5;1;5;2;;2;;2;1;4;4;1;1;1;11;2;;2;2;2;1;3;1;1;5;;1;97;4;1;3;97;1;71;3;11;11;2;2;1;0;0;0;2300;5;4;5;1;2170;2170;4;1;1;;24195;7400;7400;;;;16;1;30;3;132;4;2;4;2419;;530;800;840;650;10599;1,0599;1;6;1,0599
12516;2002;2;10;2;2300;125;571;720;740;910;3;0;1;0;1;0;0;3;90;;;;;6;90;;8;;1;7;1;2;3;8;5;9;3;9;6;18;7;6;5;7;19;2;;;1;3;1;1;2;1;3;3;1;2;1;3;2;1;1;2;2;1;2;3;3;1;2;2;8;2;2;3;3;2;2;4;4;4;2;4;1;2;3;2;3;3;2;2;3;2;2;2;1;1;2;3;3;2;8;4;4;4;4;2;2;2;1;2;1;3;1;4;2;5;5;4;4;4;4;1;5;5;2;1;4;3;5;5;1;4;5;5;2;4;1;4;2;1;4;4;2;2;1;1;4;1;2;2;4;1;2;4;1;1;2;1;1;1;2;4;2;4;2;4;5;2;2;1;4;4;4;4;3;4;4;3;3;1;4;7;4;18;5;5;10;3;8;5;4;8;3;8;1;8;2;8;1;3;8;3;8;3;8;1;8;2;4;8;8;8;3;8;3;8;2;5;8;8;8;2;8;3;8;2;5;8;8;8;1;8;3;8;1;2;;2;;1;2;2;2;1;3;1;5;1;7;2;2;2;1;4;1;1;11;;8;97;1;1;8;1;2;72;3;7;13;2;2;0;1;0;0;2300;5;2;6;1;3040;3040;1;1;1;;31520;7470;7470;;;;6;1;29;2;133;4;3;6;3152;;540;620;630;810;11162;1,1162;1;6;1,1162
12516;2002;3;3;2;2300;125;720;530;800;;4;0;1;1;1;0;0;2;5;3;1;10;;;5;3;;92;5;7;3;1;10;2;3;1;0;6;2;3;9;1;3;4;2;1;4;1;;3;1;3;2;1;3;1;3;2;3;1;1;1;2;1;2;1;2;1;2;2;1;2;3;2;2;2;3;4;4;3;2;5;2;1;4;1;3;3;3;3;2;3;3;1;1;1;2;2;3;3;2;2;2;4;2;3;3;2;2;2;2;2;1;3;5;2;4;4;2;4;4;3;1;1;3;3;3;4;3;5;2;1;1;2;4;3;2;3;3;4;1;1;4;3;2;2;4;1;4;1;8;1;2;4;3;5;1;1;2;1;4;3;2;2;2;4;2;3;4;2;2;2;3;2;2;3;2;3;3;2;1;3;2;1;4;5;7;1;7;8;9;4;4;3;2;3;1;3;1;3;1;3;3;3;4;2;3;2;3;3;3;2;4;3;2;3;2;2;3;3;3;4;4;2;3;1;3;1;4;5;5;2;3;4;5;2;2;2;;2;;1;2;3;3;1;2;1;4;1;4;2;2;2;3;3;1;1;1;1;8;4;3;2;8;1;1;63;4;5;5;2;1;1;0;0;0;2300;5;2;6;1;1650;1650;4;1;1;;51690;6510;6510;;;;5;1;38;3;133;5;3;2;5169;;620;650;700;;10599;1,0599;1,00213;6;1,081861
